,WORD
0,12_ADJ
1,22_ADJ
2,29_ADJ
3,30_ADJ
4,abandon_ADJ
5,abandone_ADJ
6,abandoned_ADJ
7,abbreviate_ADJ
8,abdominal_ADJ
9,abdul_ADJ
10,aberrant_ADJ
11,abide_ADJ
12,abiding_ADJ
13,ablaze_ADJ
14,able_ADJ
15,aboard_ADJ
16,abolish_ADJ
17,aboriginal_ADJ
18,abroad_ADJ
19,absolute_ADJ
20,absolutely_ADJ
21,absorb_ADJ
22,absorbent_ADJ
23,abstract_ADJ
24,abuse_ADJ
25,ac_ADJ
26,academic_ADJ
27,academy_ADJ
28,accelerat_ADJ
29,accelerate_ADJ
30,accent_ADJ
31,accept_ADJ
32,acceptable_ADJ
33,accommodate_ADJ
34,accompany_ADJ
35,accomplish_ADJ
36,accomplished_ADJ
37,account_ADJ
38,accountable_ADJ
39,accredit_ADJ
40,accumulate_ADJ
41,accuse_ADJ
42,accustom_ADJ
43,accustomed_ADJ
44,ach_ADJ
45,achieve_ADJ
46,acid_ADJ
47,acidic_ADJ
48,acknowledge_ADJ
49,acknowledged_ADJ
50,acoustic_ADJ
51,acoustical_ADJ
52,acquir_ADJ
53,acquire_ADJ
54,acquired_ADJ
55,acquisitive_ADJ
56,acquittal_ADJ
57,acre_ADJ
58,acrobatic_ADJ
59,act_ADJ
60,active_ADJ
61,activist_ADJ
62,actor_ADJ
63,actress_ADJ
64,actual_ADJ
65,actuarial_ADJ
66,acy_ADJ
67,ad_ADJ
68,adapt_ADJ
69,adaptable_ADJ
70,adaptive_ADJ
71,add_ADJ
72,added_ADJ
73,addict_ADJ
74,additional_ADJ
75,additive_ADJ
76,address_ADJ
77,adhesive_ADJ
78,adjacent_ADJ
79,adjective_ADJ
80,adjoin_ADJ
81,adjust_ADJ
82,adjustable_ADJ
83,adjusted_ADJ
84,administer_ADJ
85,administrative_ADJ
86,admir_ADJ
87,admiral_ADJ
88,admire_ADJ
89,admired_ADJ
90,admissible_ADJ
91,admit_ADJ
92,admitt_ADJ
93,admitted_ADJ
94,adolescent_ADJ
95,adopt_ADJ
96,adoptive_ADJ
97,ador_ADJ
98,adore_ADJ
99,adrenal_ADJ
100,adriatic_ADJ
101,adult_ADJ
102,adversary_ADJ
103,advertis_ADJ
104,advertise_ADJ
105,advertised_ADJ
106,advisable_ADJ
107,advise_ADJ
108,advisory_ADJ
109,advocate_ADJ
110,aerial_ADJ
111,aerodynamic_ADJ
112,aeronautical_ADJ
113,aesthetic_ADJ
114,affect_ADJ
115,affective_ADJ
116,affiliate_ADJ
117,afflict_ADJ
118,afford_ADJ
119,afield_ADJ
120,afloat_ADJ
121,aforementioned_ADJ
122,afray_ADJ
123,afresh_ADJ
124,african_ADJ
125,aft_ADJ
126,after_ADJ
127,against_ADJ
128,age_ADJ
129,aged_ADJ
130,ageless_ADJ
131,agent_ADJ
132,aggravate_ADJ
133,aggrieve_ADJ
134,agitate_ADJ
135,agnostic_ADJ
136,agonize_ADJ
137,agony_ADJ
138,agrarian_ADJ
139,agree_ADJ
140,agricultural_ADJ
141,agriculture_ADJ
142,ah_ADJ
143,ahead_ADJ
144,ahmad_ADJ
145,ai_ADJ
146,ail_ADJ
147,aile_ADJ
148,aim_ADJ
149,air_ADJ
150,airborne_ADJ
151,airless_ADJ
152,airplane_ADJ
153,ajar_ADJ
154,al_ADJ
155,alan_ADJ
156,alarm_ADJ
157,alaskan_ADJ
158,albanian_ADJ
159,albany_ADJ
160,albert_ADJ
161,alcohol_ADJ
162,alcoholic_ADJ
163,ale_ADJ
164,alert_ADJ
165,alexander_ADJ
166,alfred_ADJ
167,algerian_ADJ
168,alien_ADJ
169,alienate_ADJ
170,alive_ADJ
171,allege_ADJ
172,alleged_ADJ
173,allegorical_ADJ
174,allen_ADJ
175,allied_ADJ
176,allotted_ADJ
177,allow_ADJ
178,allowable_ADJ
179,alluvial_ADJ
180,ally_ADJ
181,almond_ADJ
182,almost_ADJ
183,alone_ADJ
184,alphabetical_ADJ
185,alpine_ADJ
186,already_ADJ
187,altar_ADJ
188,alter_ADJ
189,alternate_ADJ
190,alternative_ADJ
191,although_ADJ
192,altitude_ADJ
193,aluminum_ADJ
194,alumni_ADJ
195,amaze_ADJ
196,ambassador_ADJ
197,amber_ADJ
198,ambulatory_ADJ
199,ambush_ADJ
200,amended_ADJ
201,american_ADJ
202,amherst_ADJ
203,amid_ADJ
204,amish_ADJ
205,among_ADJ
206,amoral_ADJ
207,amorous_ADJ
208,amorphous_ADJ
209,amphibious_ADJ
210,amplify_ADJ
211,amuse_ADJ
212,amused_ADJ
213,amy_ADJ
214,an_ADJ
215,anachronistic_ADJ
216,anaerobic_ADJ
217,anal_ADJ
218,analogous_ADJ
219,analyst_ADJ
220,analytic_ADJ
221,analytical_ADJ
222,anarchist_ADJ
223,anarchy_ADJ
224,anatomical_ADJ
225,anatomy_ADJ
226,ancestral_ADJ
227,anchor_ADJ
228,ancient_ADJ
229,ancillary_ADJ
230,and_ADJ
231,andean_ADJ
232,andre_ADJ
233,andrew_ADJ
234,andy_ADJ
235,anecdotal_ADJ
236,anesthetic_ADJ
237,ang_ADJ
238,angel_ADJ
239,angle_ADJ
240,angled_ADJ
241,anglican_ADJ
242,anguish_ADJ
243,anguished_ADJ
244,angular_ADJ
245,animal_ADJ
246,animate_ADJ
247,ankle_ADJ
248,anne_ADJ
249,anniversary_ADJ
250,announce_ADJ
251,annoy_ADJ
252,annoye_ADJ
253,annual_ADJ
254,anoint_ADJ
255,anonymous_ADJ
256,another_ADJ
257,answ_ADJ
258,answer_ADJ
259,answerable_ADJ
260,ant_ADJ
261,antarctic_ADJ
262,anterior_ADJ
263,anthony_ADJ
264,anthropological_ADJ
265,anthropology_ADJ
266,anthropomorphic_ADJ
267,anti_ADJ
268,antibiotic_ADJ
269,antibody_ADJ
270,antic_ADJ
271,anticipate_ADJ
272,anticlimactic_ADJ
273,antiquarian_ADJ
274,antiquate_ADJ
275,antiseptic_ADJ
276,antisocial_ADJ
277,antitank_ADJ
278,antitrust_ADJ
279,antiwar_ADJ
280,any_ADJ
281,anybody_ADJ
282,anyway_ADJ
283,ap_ADJ
284,apartheid_ADJ
285,apartment_ADJ
286,apocryphal_ADJ
287,apolitical_ADJ
288,apologetic_ADJ
289,apostolic_ADJ
290,appalachian_ADJ
291,appalle_ADJ
292,apparend_ADJ
293,apparent_ADJ
294,appeal_ADJ
295,appeale_ADJ
296,appellate_ADJ
297,applaud_ADJ
298,apple_ADJ
299,applicable_ADJ
300,apply_ADJ
301,appoint_ADJ
302,appraisal_ADJ
303,appraise_ADJ
304,appreciate_ADJ
305,appro_ADJ
306,approach_ADJ
307,appropriate_ADJ
308,approval_ADJ
309,approve_ADJ
310,approved_ADJ
311,approximate_ADJ
312,april_ADJ
